"Survey_number","Date","date_ymd","survey_send","survey_begin","survey_end","ranking_time_people","support_felt","run_description","community_inclusion","how_energising","slowed_spedup_natural","enjoyment","fatigued","pain_of_fatigue","exertion","just_before","came_with","time","totalruns","gender","age","Athlete_ID"
337,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:23:22","2016-04-02 10:25:53",3,7,1,6,6,4,5,5,4,10,2,2,35.76,33,"W",10,"HJHYBWK"
338,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:30:40","2016-04-02 10:33:22",3,7,3,7,7,1,7,2,NA,4,2,3,42.18,68,"W",8,"S00XCBB"
339,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:39:43","2016-04-02 10:41:41",3,6,1,5,5,4,5,6,6,11,2,4,28.51,26,"W",4,"26VBN17"
340,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:39:07","2016-04-02 10:42:23",3,4,1,3,5,4,5,5,4,10,3,4,23.15,13,"W",6,"AGCC1W4"
341,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:40:49","2016-04-02 10:44:08",3,6,1,6,6,4,6,6,5,12,2,2,26.45,62,"M",9,"8JA1MZE"
342,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:51:31","2016-04-02 10:54:19",2,4,1,4,6,4,6,4,NA,8,1,1,27.95,25,"W",4,"APA7G96"
343,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:58:39","2016-04-02 11:02:02",3,4,1,4,6,4,6,5,5,8,2,2,24.41,29,"W",11,"Q30VHE4"
344,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:12:25","2016-04-02 11:14:00",2,7,1,7,6,4,7,7,6,13,2,2,28.53,163,"M",11,"FRMQFMD"
345,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:12:21","2016-04-02 11:14:27",3,7,4,7,5,1,7,4,NA,6,2,4,36.75,110,"W",8,"QFZDT4P"
346,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:20:50","2016-04-02 11:22:44",3,6,4,6,6,4,6,6,5,9,2,4,29.81,34,"M",10,"AAE21Z8"
347,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:27:15","2016-04-02 11:30:48",2,5,1,5,4,4,4,4,NA,8,1,2,32.83,136,"W",9,"572PXPF"
348,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:41:36","2016-04-02 11:49:39",3,6,1,5,NA,4,5,5,4,11,2,4,21.98,54,"M",9,"HTXZPD7"
349,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:48:19","2016-04-02 11:50:30",2,5,2,6,7,4,6,6,1,13,2,3,23.93,59,"W",4,"9OEPDL4"
350,"2/4/16","2016-04-02","9:45:00","2016-04-02 11:58:05","2016-04-02 12:01:13",3,6,2,6,5,3,7,3,NA,4,2,2,35.85,140,"W",11,"V4Y6VCO"
351,"2/4/16","2016-04-02","9:45:00","2016-04-02 10:06:02","2016-04-02 12:53:20",2,5,1,5,5,4,7,7,7,15,2,3,38.53,10,"W",6,"6A1D7IE"
352,"2/4/16","2016-04-02","9:45:00","2016-04-02 12:37:45","2016-04-02 12:59:20",3,6,1,6,5,4,5,6,5,9,1,2,34.8,150,"M",13,"A56W1BS"
353,"2/4/16","2016-04-02","9:45:00","2016-04-02 12:16:58","2016-04-02 13:24:27",3,5,1,6,6,4,5,5,5,8,2,2,21.05,231,"M",6,"75FJWI3"
354,"2/4/16","2016-04-02","9:45:00","2016-04-02 13:34:34","2016-04-02 13:39:08",3,7,1,7,6,4,6,5,3,8,2,3,32.23,28,"W",8,"6EO0595"
355,"2/4/16","2016-04-02","9:45:00","2016-04-02 13:55:07","2016-04-02 13:59:38",3,7,1,7,7,4,7,5,3,9,1,3,31.28,307,"M",11,"IDYTNOY"
356,"2/4/16","2016-04-02","9:45:00","2016-04-02 14:12:05","2016-04-02 14:14:43",3,6,1,5,5,4,5,6,5,11,1,1,20.31,113,"M",5,"UW3QB7M"
357,"2/4/16","2016-04-02","9:45:00","2016-04-02 15:05:02","2016-04-02 15:06:41",3,5,1,5,5,4,6,5,4,10,1,2,22.15,112,"M",5,"3LKSEZ9"
358,"2/4/16","2016-04-02","9:45:00","2016-04-02 15:35:29","2016-04-02 15:45:54",2,5,1,4,5,4,4,5,2,9,1,3,22.81,30,"W",1,"UA1MPH0"
359,"2/4/16","2016-04-02","9:45:00","2016-04-02 17:09:15","2016-04-02 17:11:26",2,6,1,6,5,4,5,6,5,13,1,1,30.4,71,"M",9,"MP52ML7"
360,"2/4/16","2016-04-02","9:45:00","2016-04-02 17:40:45","2016-04-02 17:43:25",3,6,1,4,5,4,7,6,5,12,2,3,26.25,27,"W",8,"Y05LTIN"
362,"2/4/16","2016-04-02","9:45:00","2016-04-02 18:58:19","2016-04-02 19:01:01",3,6,2,7,5,1,4,1,NA,1,3,2,57.33,113,"M",10,"CCY9CBO"
363,"2/4/16","2016-04-02","9:45:00","2016-04-02 19:38:45","2016-04-02 19:41:02",3,5,1,5,5,4,5,4,NA,6,2,3,27.65,115,"W",8,"X6HKUK9"
364,"2/4/16","2016-04-02","9:45:00","2016-04-02 19:53:49","2016-04-02 19:56:31",2,6,4,5,6,2,6,6,4,11,2,4,20.91,107,"M",11,"64F5HEP"
365,"2/4/16","2016-04-02","9:45:00","2016-04-03 10:05:50","2016-04-03 10:07:23",3,7,3,7,7,1,5,2,NA,3,2,3,30.91,48,"W",7,"D912EIZ"
366,"2/4/16","2016-04-02","9:45:00","2016-04-03 12:58:57","2016-04-03 13:01:29",3,6,1,7,7,4,7,5,4,10,2,4,25.03,147,"W",9,"9G5J3BV"
367,"2/4/16","2016-04-02","9:45:00","2016-04-03 13:58:18","2016-04-03 13:59:56",3,7,1,7,7,4,6,5,5,8,2,4,27.23,34,"M",6,"9RLEEXN"
368,"2/4/16","2016-04-02","9:45:00","2016-04-03 16:21:57","2016-04-03 16:23:29",2,6,1,6,6,4,4,6,6,12,2,2,21.46,86,"M",9,"W64SQKB"
369,"2/4/16","2016-04-02","9:45:00","2016-04-03 16:47:35","2016-04-03 16:49:09",2,6,1,6,6,4,7,6,6,14,2,2,16.6,87,"M",4,"SN7HA47"
370,"2/4/16","2016-04-02","9:45:00","2016-04-03 18:54:20","2016-04-03 19:26:34",2,6,4,6,6,1,6,5,5,7,2,4,23.4,39,"M",9,"U8SUAVX"
371,"2/4/16","2016-04-02","9:45:00","2016-04-03 20:21:40","2016-04-03 20:25:56",3,7,3,7,6,2,6,6,5,12,2,3,31.53,28,"W",4,"1WYSHFQ"
372,"2/4/16","2016-04-02","9:45:00","2016-04-03 21:17:49","2016-04-03 21:21:13",3,6,2,6,5,2,7,5,5,8,2,2,30.1,93,"W",10,"02MQQ7E"
373,"2/4/16","2016-04-02","9:45:00","2016-04-04 07:56:45","2016-04-04 07:58:56",3,7,3,7,7,1,7,1,NA,6,2,3,36.33,102,"M",10,"E37G3W5"
374,"2/4/16","2016-04-02","9:45:00","2016-04-04 11:44:24","2016-04-04 11:49:09",3,7,2,7,5,1,6,4,NA,8,2,2,23.26,36,"M",9,"6S8HNB0"
375,"2/4/16","2016-04-02","9:45:00","2016-04-04 12:48:44","2016-04-04 12:51:32",3,2,3,4,3,2,6,3,NA,7,3,3,30.7,55,"M",11,"OCFXODF"
376,"2/4/16","2016-04-02","9:45:00","2016-04-04 17:41:14","2016-04-04 17:43:44",2,5,1,4,5,4,6,6,6,14,1,3,17.78,98,"M",6,"9DTLG8T"
377,"2/4/16","2016-04-02","9:45:00","2016-04-05 12:15:14","2016-04-05 12:17:56",3,5,3,5,5,1,6,1,NA,2,2,3,28.16,61,"M",9,"9RB9OEH"
378,"9/4/16","2016-04-09","9:45:00","2016-04-09 10:56:17","2016-04-09 10:58:47",2,5,1,5,3,4,4,3,NA,7,1,1,23.1,39,"M",5,"A3ZSOC4"
379,"9/4/16","2016-04-09","9:45:00","2016-04-09 10:57:39","2016-04-09 10:59:26",3,5,1,7,4,4,5,5,2,8,2,4,29.4,123,"M",9,"1F6QBEL"
380,"9/4/16","2016-04-09","9:45:00","2016-04-09 10:59:43","2016-04-09 11:01:39",2,4,2,5,6,4,6,4,NA,9,1,3,34.46,4,"W",6,"XW4XPZC"
381,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:02:21","2016-04-09 11:04:45",2,5,1,5,4,4,5,7,7,14,3,2,39.91,10,"W",6,"6A1D7IE"
382,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:07:21","2016-04-09 11:10:12",3,5,1,6,6,4,4,6,5,12,2,3,27.61,62,"M",9,"8JA1MZE"
383,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:09:00","2016-04-09 11:11:25",3,5,1,4,4,4,4,5,4,10,1,3,25.41,48,"W",7,"D912EIZ"
384,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:10:22","2016-04-09 11:14:08",2,7,2,7,7,4,7,6,6,12,2,2,26.31,45,"W",9,"LMY75FN"
385,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:13:59","2016-04-09 11:16:56",2,6,1,7,6,4,6,4,NA,9,2,3,34.7,28,"W",8,"6EO0595"
386,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:28:37","2016-04-09 11:30:03",2,7,1,7,7,4,7,6,6,12,2,2,28.58,163,"M",11,"FRMQFMD"
387,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:36:25","2016-04-09 11:39:12",2,7,1,6,6,4,7,5,4,10,2,2,25.61,30,"M",8,"FSC68BR"
388,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:40:40","2016-04-09 11:42:35",3,5,1,5,5,4,6,5,3,8,1,3,20.91,113,"M",5,"UW3QB7M"
389,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:45:30","2016-04-09 11:46:49",2,5,1,4,5,4,5,5,3,8,1,1,30.21,62,"W",4,"8FQ70LO"
390,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:54:06","2016-04-09 11:57:00",2,5,1,6,5,4,4,6,6,12,1,1,19.16,30,"M",5,"1GOC6JU"
391,"9/4/16","2016-04-09","9:45:00","2016-04-09 11:57:22","2016-04-09 11:59:57",3,4,1,4,5,4,5,5,4,10,1,1,25.61,110,"M",8,"UN7P5LY"
392,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:06:37","2016-04-09 12:10:02",3,6,1,6,5,4,5,5,2,11,2,1,35.15,150,"M",13,"A56W1BS"
393,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:11:02","2016-04-09 12:13:16",3,6,2,6,5,3,5,4,NA,9,2,4,29.03,53,"W",10,"U9JJJC3"
394,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:06:58","2016-04-09 12:13:54",3,7,4,6,7,1,7,2,NA,6,2,4,30.11,81,"W",10,"H6UW40L"
395,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:13:08","2016-04-09 12:15:06",3,6,4,6,6,4,6,6,5,10,2,4,30.5,34,"M",10,"AAE21Z8"
396,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:35:43","2016-04-09 12:37:35",3,7,4,7,7,1,7,2,NA,3,2,3,30.83,103,"W",7,"06249ZB"
397,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:37:15","2016-04-09 12:39:10",3,6,1,5,4,4,5,6,4,12,2,4,24.56,118,"M",6,"87J50HU"
398,"9/4/16","2016-04-09","9:45:00","2016-04-09 12:57:33","2016-04-09 13:02:04",3,7,3,7,7,3,7,6,5,9,2,3,29.28,35,"W",8,"GGC9JED"
399,"9/4/16","2016-04-09","9:45:00","2016-04-09 13:49:25","2016-04-09 13:54:17",3,7,2,7,7,3,7,4,NA,8,2,2,33.36,140,"W",11,"V4Y6VCO"
400,"9/4/16","2016-04-09","9:45:00","2016-04-09 14:11:17","2016-04-09 14:12:53",3,7,2,7,7,3,7,2,NA,5,2,2,43.08,136,"W",9,"572PXPF"
401,"9/4/16","2016-04-09","9:45:00","2016-04-09 14:18:52","2016-04-09 14:21:34",2,5,3,4,6,4,5,5,3,11,1,2,20.85,14,"M",9,"QF2K1HT"
402,"9/4/16","2016-04-09","9:45:00","2016-04-09 14:38:45","2016-04-09 14:41:42",3,7,1,7,7,4,6,7,5,14,2,2,32.33,307,"M",11,"IDYTNOY"
403,"9/4/16","2016-04-09","9:45:00","2016-04-09 14:43:37","2016-04-09 14:45:38",3,7,1,7,6,4,6,7,7,13,2,1,43.63,39,"W",6,"8YV0RBQ"
404,"9/4/16","2016-04-09","9:45:00","2016-04-09 15:33:32","2016-04-09 15:39:06",3,4,1,4,6,4,5,5,4,9,2,3,23.98,113,"M",10,"CCY9CBO"
405,"9/4/16","2016-04-09","9:45:00","2016-04-09 15:35:38","2016-04-09 15:40:11",3,6,1,6,7,4,7,4,NA,11,2,2,35.48,33,"W",10,"HJHYBWK"
406,"9/4/16","2016-04-09","9:45:00","2016-04-09 16:03:15","2016-04-09 16:05:11",2,6,1,6,6,4,6,6,5,11,1,1,30.13,71,"M",9,"MP52ML7"
407,"9/4/16","2016-04-09","9:45:00","2016-04-09 17:00:39","2016-04-09 17:04:43",2,7,1,7,6,4,7,3,NA,8,2,4,26.71,115,"W",8,"X6HKUK9"
408,"9/4/16","2016-04-09","9:45:00","2016-04-09 17:44:02","2016-04-09 17:46:49",3,4,1,5,5,4,4,5,4,12,3,2,22.91,112,"M",5,"3LKSEZ9"
409,"9/4/16","2016-04-09","9:45:00","2016-04-09 18:46:34","2016-04-09 18:49:02",2,7,1,7,5,4,6,5,2,11,3,4,31.85,110,"W",8,"QFZDT4P"
410,"9/4/16","2016-04-09","9:45:00","2016-04-09 19:10:47","2016-04-09 19:13:08",3,5,3,5,6,4,3,7,5,13,2,4,31.5,135,"W",6,"YCJW583"
411,"9/4/16","2016-04-09","9:45:00","2016-04-09 19:14:19","2016-04-09 19:16:43",3,7,1,7,5,4,7,6,2,11,2,2,27.71,54,"M",8,"3S3PK5U"
412,"9/4/16","2016-04-09","9:45:00","2016-04-09 20:35:03","2016-04-09 20:37:35",3,7,1,7,5,4,7,4,NA,7,2,2,32.78,43,"W",5,"CZJSUBT"
413,"9/4/16","2016-04-09","9:45:00","2016-04-09 21:16:17","2016-04-09 21:19:24",3,6,2,6,6,3,6,5,5,8,1,1,23.41,81,"M",4,"0V5N7F7"
414,"9/4/16","2016-04-09","9:45:00","2016-04-09 21:59:43","2016-04-09 22:04:16",3,6,1,4,6,4,6,5,5,10,2,3,25.53,80,"M",4,"9O9MCWZ"
415,"9/4/16","2016-04-09","9:45:00","2016-04-09 23:28:03","2016-04-09 23:31:53",2,5,1,5,5,4,4,5,4,11,2,1,21.98,54,"M",9,"HTXZPD7"
416,"9/4/16","2016-04-09","9:45:00","2016-04-10 08:27:37","2016-04-10 08:32:08",2,5,1,6,5,4,5,5,5,9,3,2,25.36,28,"M",8,"EVYTA0Y"
417,"9/4/16","2016-04-09","9:45:00","2016-04-10 13:34:15","2016-04-10 13:39:32",3,6,1,7,5,4,6,7,2,11,3,3,20.61,35,"M",6,"SEELX8V"
418,"9/4/16","2016-04-09","9:45:00","2016-04-10 19:05:06","2016-04-10 19:09:57",3,6,1,7,6,4,6,5,4,9,2,2,30.7,93,"W",10,"02MQQ7E"
419,"9/4/16","2016-04-09","9:45:00","2016-04-11 07:10:15","2016-04-11 07:12:42",3,6,3,6,5,3,7,4,NA,8,3,3,26.08,190,"W",9,"EOC1W8E"
420,"9/4/16","2016-04-09","9:45:00","2016-04-11 08:18:22","2016-04-11 08:20:46",3,4,1,5,6,4,5,5,3,8,3,2,19.06,24,"M",5,"BXW22ZB"
421,"9/4/16","2016-04-09","9:45:00","2016-04-12 17:33:25","2016-04-12 17:34:48",3,7,1,7,7,4,7,6,5,12,2,4,27.16,85,"W",9,"QMXQO5M"
423,"16/04/2016","2016-04-16","9:45:00","2016-04-16 12:44:03","2016-04-16 12:45:47",3,6,1,6,6,4,6,4,NA,10,1,1,26.86,62,"M",9,"8JA1MZE"
424,"16/04/2016","2016-04-16","9:45:00","2016-04-16 12:47:19","2016-04-16 12:50:13",3,6,1,6,6,4,7,5,4,10,2,3,28.86,79,"M",9,"YIUDRH5"
425,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:00:39","2016-04-16 13:02:19",3,7,1,7,7,4,7,5,3,10,2,2,29.55,51,"M",9,"R9P2TIW"
426,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:24:24","2016-04-16 13:25:48",2,4,1,5,5,4,5,4,NA,9,2,3,33.35,136,"W",9,"572PXPF"
427,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:25:41","2016-04-16 13:28:36",2,5,1,6,7,4,7,4,NA,10,2,1,26.28,27,"W",8,"Y05LTIN"
428,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:29:36","2016-04-16 13:31:24",3,7,2,7,7,4,5,5,3,10,2,3,32.63,29,"W",7,"JTO23Q4"
429,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:30:22","2016-04-16 13:32:52",3,7,4,7,5,1,6,5,3,7,2,4,34.83,110,"W",8,"QFZDT4P"
430,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:36:24","2016-04-16 13:40:34",2,6,1,7,6,4,6,4,NA,9,1,2,28.08,94,"M",10,"P30MM7M"
431,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:38:53","2016-04-16 13:41:02",2,5,1,5,5,4,7,6,5,11,1,1,22.23,39,"M",5,"A3ZSOC4"
432,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:40:46","2016-04-16 13:42:36",3,5,1,6,6,4,6,4,NA,8,2,4,29.33,25,"W",4,"APA7G96"
433,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:50:38","2016-04-16 13:53:36",3,7,1,7,7,4,7,6,2,13,3,4,20.25,35,"M",6,"SEELX8V"
434,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:53:41","2016-04-16 13:55:48",3,5,3,5,4,1,5,3,NA,6,1,3,34.93,272,"M",8,"VV2J8H7"
435,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:55:01","2016-04-16 13:56:46",2,6,1,6,5,4,5,6,6,11,3,1,23.71,113,"M",10,"CCY9CBO"
436,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:01:45","2016-04-16 14:04:30",3,4,1,5,5,4,6,4,NA,10,2,2,26.11,41,"M",11,"ITPAZM5"
437,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:13:19","2016-04-16 14:16:08",2,6,1,6,6,4,6,4,NA,11,2,3,22.25,107,"M",11,"64F5HEP"
438,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:19:56","2016-04-16 14:22:03",3,7,3,7,7,2,7,7,7,12,2,4,42.25,39,"M",6,"8YV0RBQ"
439,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:21:53","2016-04-16 14:23:55",3,7,2,7,7,3,7,5,4,8,2,3,30.23,35,"W",8,"GGC9JED"
440,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:21:58","2016-04-16 14:26:12",3,5,1,4,5,4,5,4,NA,9,3,1,24.91,110,"M",8,"UN7P5LY"
441,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:27:24","2016-04-16 14:29:16",2,7,1,7,7,4,5,5,1,8,2,2,27.46,71,"W",9,"IA1X4QH"
442,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:33:42","2016-04-16 14:35:10",3,5,1,6,5,4,6,4,NA,8,2,3,27.01,48,"W",7,"D912EIZ"
443,"16/04/2016","2016-04-16","9:45:00","2016-04-16 14:37:32","2016-04-16 14:39:39",2,5,1,5,5,4,3,6,4,13,2,2,29.6,35,"W",6,"MU484MT"
444,"16/04/2016","2016-04-16","9:45:00","2016-04-16 15:11:14","2016-04-16 15:13:21",2,7,1,7,7,4,6,5,3,11,2,3,23.58,118,"M",6,"87J50HU"
445,"16/04/2016","2016-04-16","9:45:00","2016-04-16 15:24:56","2016-04-16 15:28:54",2,5,1,5,5,4,5,6,4,11,1,1,27.13,23,"W",6,"SBDZA8L"
446,"16/04/2016","2016-04-16","9:45:00","2016-04-16 15:53:13","2016-04-16 15:55:10",3,7,1,6,5,4,5,6,5,14,2,3,21.61,21,"M",5,"CUX5W0I"
447,"16/04/2016","2016-04-16","9:45:00","2016-04-16 16:12:10","2016-04-16 16:17:23",3,6,1,6,5,4,5,5,6,9,2,3,28.36,127,"M",5,"B42GXHB"
448,"16/04/2016","2016-04-16","9:45:00","2016-04-16 16:57:23","2016-04-16 16:59:04",3,7,3,5,6,1,7,2,NA,6,3,3,34.11,41,"W",7,"0PMIH5F"
449,"16/04/2016","2016-04-16","9:45:00","2016-04-16 16:58:26","2016-04-16 17:01:24",2,6,1,6,6,4,7,6,5,11,2,2,26.41,6,"M",7,"D7SCG87"
450,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:23:32","2016-04-16 17:01:48",3,7,1,7,7,4,7,1,NA,7,2,4,29.25,81,"W",10,"H6UW40L"
451,"16/04/2016","2016-04-16","9:45:00","2016-04-16 17:17:53","2016-04-16 17:19:54",2,7,1,7,7,3,7,5,4,10,3,3,21.05,34,"W",6,"XHRLHJ8"
452,"16/04/2016","2016-04-16","9:45:00","2016-04-16 17:33:11","2016-04-16 17:35:47",3,5,2,5,5,4,5,4,NA,9,1,2,29.53,53,"W",10,"U9JJJC3"
453,"16/04/2016","2016-04-16","9:45:00","2016-04-16 17:54:08","2016-04-16 17:55:48",3,4,4,7,3,4,2,6,5,12,2,4,29.06,135,"W",6,"YCJW583"
454,"16/04/2016","2016-04-16","9:45:00","2016-04-16 17:55:23","2016-04-16 17:58:34",3,5,2,5,5,1,5,4,NA,8,2,2,29.75,49,"M",6,"6WCLR78"
455,"16/04/2016","2016-04-16","9:45:00","2016-04-16 18:00:14","2016-04-16 18:01:40",3,6,1,6,5,4,6,6,5,11,2,3,20.63,113,"M",5,"UW3QB7M"
456,"16/04/2016","2016-04-16","9:45:00","2016-04-16 18:07:27","2016-04-16 18:08:38",2,6,1,7,6,4,6,5,3,10,2,4,28.66,123,"M",9,"1F6QBEL"
457,"16/04/2016","2016-04-16","9:45:00","2016-04-16 13:58:32","2016-04-16 18:08:38",2,5,1,5,6,4,5,5,5,10,2,2,26,62,"M",8,"86ZOE78"
458,"16/04/2016","2016-04-16","9:45:00","2016-04-16 15:07:47","2016-04-18 10:17:59",3,6,1,6,3,4,3,6,4,9,2,1,36.01,150,"M",13,"A56W1BS"
459,"16/04/2016","2016-04-16","9:45:00","2016-04-16 18:23:55","2016-04-18 10:17:59",3,6,1,5,5,4,4,5,3,10,3,2,29.2,93,"W",10,"I0EXSXN"
460,"16/04/2016","2016-04-16","9:45:00","2016-04-17 07:59:13","2016-04-17 08:03:21",3,7,1,7,7,4,7,3,NA,8,2,3,36.66,19,"W",10,"OR3I1V0"
461,"16/04/2016","2016-04-16","9:45:00","2016-04-17 08:47:20","2016-04-17 08:49:44",3,7,1,7,6,4,6,6,4,11,2,2,31.15,307,"M",11,"IDYTNOY"
462,"16/04/2016","2016-04-16","9:45:00","2016-04-17 13:04:53","2016-04-17 13:38:17",3,5,2,5,5,3,4,5,3,8,2,2,20.95,231,"M",6,"75FJWI3"
463,"16/04/2016","2016-04-16","9:45:00","2016-04-17 15:05:13","2016-04-17 15:07:08",3,7,1,7,7,4,7,6,5,13,2,4,26.78,85,"W",9,"QMXQO5M"
464,"16/04/2016","2016-04-16","9:45:00","2016-04-17 18:27:02","2016-04-17 18:28:54",3,7,1,7,7,4,7,6,3,11,2,2,26.96,54,"M",8,"3S3PK5U"
465,"16/04/2016","2016-04-16","9:45:00","2016-04-18 08:27:51","2016-04-18 08:30:50",2,4,1,5,5,4,4,6,3,10,1,2,25.96,30,"M",8,"FSC68BR"
466,"16/04/2016","2016-04-16","9:45:00","2016-04-18 09:26:12","2016-04-18 09:27:38",3,5,1,5,5,4,5,5,5,10,2,3,27.3,26,"W",4,"26VBN17"
467,"16/04/2016","2016-04-16","9:45:00","2016-04-18 16:19:32","2016-04-18 16:22:45",1,6,1,5,5,4,5,5,4,9,2,1,25.91,207,"M",9,"GLCMOCE"
468,"16/04/2016","2016-04-16","9:45:00","2016-04-19 07:57:01","2016-04-19 08:00:10",3,6,4,7,5,1,5,1,NA,2,2,4,41.9,190,"W",9,"EOC1W8E"
469,"16/04/2016","2016-04-16","9:45:00","2016-04-19 12:35:35","2016-04-19 12:37:46",3,5,2,5,5,1,5,3,NA,4,2,3,24.76,61,"M",9,"9RB9OEH"
470,"16/04/2016","2016-04-16","9:45:00","2016-04-21 00:05:29","2016-04-21 00:07:03",2,5,1,5,5,4,4,5,5,11,1,1,21.33,86,"M",9,"W64SQKB"
471,"16/04/2016","2016-04-16","9:45:00","2016-04-22 09:49:53","2016-04-22 09:52:34",1,5,3,5,5,2,4,6,4,11,2,3,26.63,147,"W",9,"9G5J3BV"
472,"16/04/2016","2016-04-16","9:45:00","2016-04-22 09:43:58","2016-04-22 09:54:47",2,6,2,7,6,4,6,7,4,12,2,2,22,40,"M",9,"Y0NMXE1"
473,"16/04/2016","2016-04-16","9:45:00","2016-04-23 08:14:41","2016-04-23 08:16:12",2,7,2,7,7,4,7,6,6,14,2,2,26.18,45,"W",9,"LMY75FN"
474,"23/04/2016","2016-04-23","9:45:00","2016-04-23 10:47:37","2016-04-23 10:49:42",2,5,1,5,6,4,6,4,NA,8,1,1,22.93,15,"M",3,"BRDGXZA"
475,"23/04/2016","2016-04-23","9:45:00","2016-04-23 10:52:23","2016-04-23 10:53:51",3,6,1,5,5,4,6,6,4,11,2,2,37.98,16,"W",8,"1MHBZLP"
476,"23/04/2016","2016-04-23","9:45:00","2016-04-23 10:59:33","2016-04-23 11:02:45",2,5,1,5,6,3,7,4,NA,8,2,3,34.28,4,"W",6,"3UFUTPQ"
477,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:00:44","2016-04-23 11:03:22",3,6,1,6,6,4,6,4,NA,9,2,3,29.98,22,"W",8,"JH3IYC2"
478,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:03:47","2016-04-23 11:05:49",3,5,1,4,6,4,6,4,NA,10,1,2,26.06,62,"M",9,"8JA1MZE"
479,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:08:49","2016-04-23 11:11:41",3,4,3,6,6,1,7,3,NA,6,3,3,24.06,60,"M",5,"U67OLN8"
480,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:16:34","2016-04-23 11:18:13",3,7,2,7,7,2,7,6,5,10,2,3,30.48,29,"W",7,"JTO23Q4"
481,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:15:43","2016-04-23 11:18:27",3,3,4,4,4,4,4,3,NA,9,1,4,29.3,53,"W",10,"U9JJJC3"
482,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:17:40","2016-04-23 11:19:19",3,7,3,7,7,3,6,5,5,13,2,4,32.06,135,"W",6,"YCJW583"
483,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:20:12","2016-04-23 11:21:41",3,6,1,6,5,4,6,5,4,10,3,1,26.91,28,"M",8,"EVYTA0Y"
484,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:24:15","2016-04-23 11:25:32",2,4,1,4,5,4,5,4,NA,8,1,3,32.15,136,"W",9,"572PXPF"
485,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:28:03","2016-04-23 11:30:18",2,6,1,5,7,4,6,2,NA,11,2,3,24.61,57,"W",6,"R5WZBS6"
486,"23/04/2016","2016-04-23","9:45:00","2016-04-23 11:37:22","2016-04-23 11:39:56",1,7,1,7,7,4,7,4,NA,10,2,3,32.3,56,"W",13,"VJB2GAS"
